"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LIFEEXP","WOMEN","YR","A","2014",83.5,
"IRL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"IRL","LIFEEXP","WOMEN","YR","A","2016",83.6,
"IRL","LIFEEXP","WOMEN","YR","A","2017",84,
"ITA","LIFEEXP","MEN","YR","A","2014",80.7,
"ITA","LIFEEXP","MEN","YR","A","2015",80.3,
"ITA","LIFEEXP","MEN","YR","A","2016",81,
"ITA","LIFEEXP","MEN","YR","A","2017",80.8,
"ITA","LIFEEXP","TOT","YR","A","2014",83.2,
"ITA","LIFEEXP","TOT","YR","A","2015",82.6,
"ITA","LIFEEXP","TOT","YR","A","2016",83.3,
"ITA","LIFEEXP","TOT","YR","A","2017",83,
"ITA","LIFEEXP","WOMEN","YR","A","2014",85.6,
"ITA","LIFEEXP","WOMEN","YR","A","2015",84.9,
"ITA","LIFEEXP","WOMEN","YR","A","2016",85.6,
"ITA","LIFEEXP","WOMEN","YR","A","2017",85.2,
"JPN","LIFEEXP","MEN","YR","A","2014",80.5,
"JPN","LIFEEXP","MEN","YR","A","2015",80.8,
"JPN","LIFEEXP","MEN","YR","A","2016",81,
"JPN","LIFEEXP","MEN","YR","A","2017",81.1,
"JPN","LIFEEXP","TOT","YR","A","2014",83.7,
"JPN","LIFEEXP","TOT","YR","A","2015",83.9,
"JPN","LIFEEXP","TOT","YR","A","2016",84.1,
"JPN","LIFEEXP","TOT","YR","A","2017",84.2,
"JPN","LIFEEXP","WOMEN","YR","A","2014",86.8,
"JPN","LIFEEXP","WOMEN","YR","A","2015",87,
"JPN","LIFEEXP","WOMEN","YR","A","2016",87.1,
"JPN","LIFEEXP","WOMEN","YR","A","2017",87.3,
"KOR","LIFEEXP","MEN","YR","A","2014",78.6,
"KOR","LIFEEXP","MEN","YR","A","2015",79,
"KOR","LIFEEXP","MEN","YR","A","2016",79.3,
"KOR","LIFEEXP","MEN","YR","A","2017",79.7,
"KOR","LIFEEXP","TOT","YR","A","2014",81.8,
"KOR","LIFEEXP","TOT","YR","A","2015",82.1,
"KOR","LIFEEXP","TOT","YR","A","2016",82.4,
"KOR","LIFEEXP","TOT","YR","A","2017",82.7,
"KOR","LIFEEXP","WOMEN","YR","A","2014",85,
"KOR","LIFEEXP","WOMEN","YR","A","2015",85.2,
"KOR","LIFEEXP","WOMEN","YR","A","2016",85.4,
"KOR","LIFEEXP","WOMEN","YR","A","2017",85.7,
"LUX","LIFEEXP","MEN","YR","A","2014",79.4,
"LUX","LIFEEXP","MEN","YR","A","2015",80,
"LUX","LIFEEXP","MEN","YR","A","2016",80.1,
"LUX","LIFEEXP","MEN","YR","A","2017",79.9,
"LUX","LIFEEXP","TOT","YR","A","2014",82.3,
"LUX","LIFEEXP","TOT","YR","A","2015",82.4,
"LUX","LIFEEXP","TOT","YR","A","2016",82.8,
"LUX","LIFEEXP","TOT","YR","A","2017",82.2,
"LUX","LIFEEXP","WOMEN","YR","A","2014",85.2,
"LUX","LIFEEXP","WOMEN","YR","A","2015",84.7,
"LUX","LIFEEXP","WOMEN","YR","A","2016",85.4,
"LUX","LIFEEXP","WOMEN","YR","A","2017",84.4,
"MEX","LIFEEXP","MEN","YR","A","2014",72.1,
"MEX","LIFEEXP","MEN","YR","A","2015",72.3,
"MEX","LIFEEXP","MEN","YR","A","2016",72.6,
"MEX","LIFEEXP","MEN","YR","A","2017",72.9,
"MEX","LIFEEXP","MEN","YR","A","2018",72.2,"P"
"MEX","LIFEEXP","TOT","YR","A","2014",74.8,
"MEX","LIFEEXP","TOT","YR","A","2015",75,
"MEX","LIFEEXP","TOT","YR","A","2016",75.2,
"MEX","LIFEEXP","TOT","YR","A","2017",75.4,
"MEX","LIFEEXP","TOT","YR","A","2018",75,"P"
"MEX","LIFEEXP","WOMEN","YR","A","2014",77.5,
"MEX","LIFEEXP","WOMEN","YR","A","2015",77.7,
"MEX","LIFEEXP","WOMEN","YR","A","2016",77.8,
"MEX","LIFEEXP","WOMEN","YR","A","2017",77.9,
"MEX","LIFEEXP","WOMEN","YR","A","2018",77.9,"P"
"NLD","LIFEEXP","MEN","YR","A","2014",80,
"NLD","LIFEEXP","MEN","YR","A","2015",79.9,
"NLD","LIFEEXP","MEN","YR","A","2016",80,
"NLD","LIFEEXP","MEN","YR","A","2017",80.2,
"NLD","LIFEEXP","TOT","YR","A","2014",81.8,
"NLD","LIFEEXP","TOT","YR","A","2015",81.6,
"NLD","LIFEEXP","TOT","YR","A","2016",81.6,
"NLD","LIFEEXP","TOT","YR","A","2017",81.8,
"NLD","LIFEEXP","WOMEN","YR","A","2014",83.5,
"NLD","LIFEEXP","WOMEN","YR","A","2015",83.2,
"NLD","LIFEEXP","WOMEN","YR","A","2016",83.2,
"NLD","LIFEEXP","WOMEN","YR","A","2017",83.4,
"NZL","LIFEEXP","MEN","YR","A","2014",79.7,
"NZL","LIFEEXP","MEN","YR","A","2015",79.9,
"NZL","LIFEEXP","MEN","YR","A","2016",80,
"NZL","LIFEEXP","MEN","YR","A","2017",80.2,"P"
"NZL","LIFEEXP","TOT","YR","A","2014",81.5,
"NZL","LIFEEXP","TOT","YR","A","2015",81.7,
"NZL","LIFEEXP","TOT","YR","A","2016",81.7,
"NZL","LIFEEXP","TOT","YR","A","2017",81.9,"P"
"NZL","LIFEEXP","WOMEN","YR","A","2014",83.3,
"NZL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"NZL","LIFEEXP","WOMEN","YR","A","2016",83.4,
"NZL","LIFEEXP","WOMEN","YR","A","2017",83.6,"P"
"NOR","LIFEEXP","MEN","YR","A","2014",80.1,
"NOR","LIFEEXP","MEN","YR","A","2015",80.5,
"NOR","LIFEEXP","MEN","YR","A","2016",80.7,
"NOR","LIFEEXP","MEN","YR","A","2017",81,
"NOR","LIFEEXP","TOT","YR","A","2014",82.2,
"NOR","LIFEEXP","TOT","YR","A","2015",82.4,
"NOR","LIFEEXP","TOT","YR","A","2016",82.5,
"NOR","LIFEEXP","TOT","YR","A","2017",82.7,
"NOR","LIFEEXP","WOMEN","YR","A","2014",84.2,
"NOR","LIFEEXP","WOMEN","YR","A","2015",84.2,
"NOR","LIFEEXP","WOMEN","YR","A","2016",84.2,
"NOR","LIFEEXP","WOMEN","YR","A","2017",84.3,
"POL","LIFEEXP","MEN","YR","A","2014",73.7,
"POL","LIFEEXP","MEN","YR","A","2015",73.5,
"POL","LIFEEXP","MEN","YR","A","2016",73.9,
"POL","LIFEEXP","MEN","YR","A","2017",73.9,
"POL","LIFEEXP","TOT","YR","A","2014",77.7,
"POL","LIFEEXP","TOT","YR","A","2015",77.6,
"POL","LIFEEXP","TOT","YR","A","2016",78,
"POL","LIFEEXP","TOT","YR","A","2017",77.9,
"POL","LIFEEXP","WOMEN","YR","A","2014",81.7,
"POL","LIFEEXP","WOMEN","YR","A","2015",81.6,
"POL","LIFEEXP","WOMEN","YR","A","2016",82,
"POL","LIFEEXP","WOMEN","YR","A","2017",81.8,
"PRT","LIFEEXP","MEN","YR","A","2014",78,
"PRT","LIFEEXP","MEN","YR","A","2015",78.1,
"PRT","LIFEEXP","MEN","YR","A","2016",78.1,
"PRT","LIFEEXP","MEN","YR","A","2017",78.4,
"PRT","LIFEEXP","TOT","YR","A","2014",81.2,
"PRT","LIFEEXP","TOT","YR","A","2015",81.2,
"PRT","LIFEEXP","TOT","YR","A","2016",81.2,
"PRT","LIFEEXP","TOT","YR","A","2017",81.5,
"PRT","LIFEEXP","WOMEN","YR","A","2014",84.4,
"PRT","LIFEEXP","WOMEN","YR","A","2015",84.3,
"PRT","LIFEEXP","WOMEN","YR","A","2016",84.3,
"PRT","LIFEEXP","WOMEN","YR","A","2017",84.6,
"SVK","LIFEEXP","MEN","YR","A","2014",73.3,
"SVK","LIFEEXP","MEN","YR","A","2015",73.1,
"SVK","LIFEEXP","MEN","YR","A","2016",73.8,
"SVK","LIFEEXP","MEN","YR","A","2017",73.8,
"SVK","LIFEEXP","TOT","YR","A","2014",76.9,
"SVK","LIFEEXP","TOT","YR","A","2015",76.7,
"SVK","LIFEEXP","TOT","YR","A","2016",77.3,
"SVK","LIFEEXP","TOT","YR","A","2017",77.3,
"SVK","LIFEEXP","WOMEN","YR","A","2014",80.5,
"SVK","LIFEEXP","WOMEN","YR","A","2015",80.2,
"SVK","LIFEEXP","WOMEN","YR","A","2016",80.7,
"SVK","LIFEEXP","WOMEN","YR","A","2017",80.7,
"ESP","LIFEEXP","MEN","YR","A","2014",80.4,
"ESP","LIFEEXP","MEN","YR","A","2015",80.1,
"ESP","LIFEEXP","MEN","YR","A","2016",80.5,
"ESP","LIFEEXP","MEN","YR","A","2017",80.6,
"ESP","LIFEEXP","TOT","YR","A","2014",83.3,
"ESP","LIFEEXP","TOT","YR","A","2015",82.9,
"ESP","LIFEEXP","TOT","YR","A","2016",83.4,
"ESP","LIFEEXP","TOT","YR","A","2017",83.4,
"ESP","LIFEEXP","WOMEN","YR","A","2014",86.2,
"ESP","LIFEEXP","WOMEN","YR","A","2015",85.7,
"ESP","LIFEEXP","WOMEN","YR","A","2016",86.3,
"ESP","LIFEEXP","WOMEN","YR","A","2017",86.1,
"SWE","LIFEEXP","MEN","YR","A","2014",80.4,
"SWE","LIFEEXP","MEN","YR","A","2015",80.4,
"SWE","LIFEEXP","MEN","YR","A","2016",80.6,
"SWE","LIFEEXP","MEN","YR","A","2017",80.8,
"SWE","LIFEEXP","TOT","YR","A","2014",82.3,
"SWE","LIFEEXP","TOT","YR","A","2015",82.3,
"SWE","LIFEEXP","TOT","YR","A","2016",82.4,
"SWE","LIFEEXP","TOT","YR","A","2017",82.5,
"SWE","LIFEEXP","WOMEN","YR","A","2014",84.2,
"SWE","LIFEEXP","WOMEN","YR","A","2015",84.1,
"SWE","LIFEEXP","WOMEN","YR","A","2016",84.1,
"SWE","LIFEEXP","WOMEN","YR","A","2017",84.1,
"CHE","LIFEEXP","MEN","YR","A","2014",81.1,
"CHE","LIFEEXP","MEN","YR","A","2015",80.8,
"CHE","LIFEEXP","MEN","YR","A","2016",81.7,
"CHE","LIFEEXP","MEN","YR","A","2017",81.6,
"CHE","LIFEEXP","TOT","YR","A","2014",83.3,
"CHE","LIFEEXP","TOT","YR","A","2015",83,
"CHE","LIFEEXP","TOT","YR","A","2016",83.7,
"CHE","LIFEEXP","TOT","YR","A","2017",83.6,
"CHE","LIFEEXP","WOMEN","YR","A","2014",85.4,
"CHE","LIFEEXP","WOMEN","YR","A","2015",85.1,
"CHE","LIFEEXP","WOMEN","YR","A","2016",85.6,
"CHE","LIFEEXP","WOMEN","YR","A","2017",85.6,
"TUR","LIFEEXP","MEN","YR","A","2014",75.3,
"TUR","LIFEEXP","MEN","YR","A","2015",75.3,
"TUR","LIFEEXP","MEN","YR","A","2016",75.3,
"TUR","LIFEEXP","MEN","YR","A","2017",75.3,
"TUR","LIFEEXP","TOT","YR","A","2014",78,
"TUR","LIFEEXP","TOT","YR","A","2015",78,
"TUR","LIFEEXP","TOT","YR","A","2016",78,
"TUR","LIFEEXP","TOT","YR","A","2017",78.1,
"TUR","LIFEEXP","WOMEN","YR","A","2014",80.7,
"TUR","LIFEEXP","WOMEN","YR","A","2015",80.7,
"TUR","LIFEEXP","WOMEN","YR","A","2016",80.7,
"TUR","LIFEEXP","WOMEN","YR","A","2017",80.8,
"GBR","LIFEEXP","MEN","YR","A","2014",79.5,
"GBR","LIFEEXP","MEN","YR","A","2015",79.2,
"GBR","LIFEEXP","MEN","YR","A","2016",79.4,
"GBR","LIFEEXP","MEN","YR","A","2017",79.5,
"GBR","LIFEEXP","TOT","YR","A","2014",81.4,
"GBR","LIFEEXP","TOT","YR","A","2015",81,
"GBR","LIFEEXP","TOT","YR","A","2016",81.2,
"GBR","LIFEEXP","TOT","YR","A","2017",81.3,
"GBR","LIFEEXP","WOMEN","YR","A","2014",83.2,
"GBR","LIFEEXP","WOMEN","YR","A","2015",82.8,
"GBR","LIFEEXP","WOMEN","YR","A","2016",83,
"GBR","LIFEEXP","WOMEN","YR","A","2017",83.1,
"USA","LIFEEXP","MEN","YR","A","2014",76.5,
"USA","LIFEEXP","MEN","YR","A","2015",76.3,
"USA","LIFEEXP","MEN","YR","A","2016",76.2,
"USA","LIFEEXP","MEN","YR","A","2017",76.1,
"USA","LIFEEXP","TOT","YR","A","2014",78.9,
"USA","LIFEEXP","TOT","YR","A","2015",78.7,
"USA","LIFEEXP","TOT","YR","A","2016",78.7,
"USA","LIFEEXP","TOT","YR","A","2017",78.6,
"USA","LIFEEXP","WOMEN","YR","A","2014",81.3,
"USA","LIFEEXP","WOMEN","YR","A","2015",81.1,
"USA","LIFEEXP","WOMEN","YR","A","2016",81.1,
"USA","LIFEEXP","WOMEN","YR","A","2017",81.1,
"CHL","LIFEEXP","MEN","YR","A","2014",76.8,
"CHL","LIFEEXP","MEN","YR","A","2015",77.1,
"CHL","LIFEEXP","MEN","YR","A","2016",77.4,
"CHL","LIFEEXP","TOT","YR","A","2014",79.7,
"CHL","LIFEEXP","TOT","YR","A","2015",79.9,
"CHL","LIFEEXP","TOT","YR","A","2016",80.2,
"CHL","LIFEEXP","WOMEN","YR","A","2014",82.5,
"CHL","LIFEEXP","WOMEN","YR","A","2015",82.7,
"CHL","LIFEEXP","WOMEN","YR","A","2016",83.1,
"EST","LIFEEXP","MEN","YR","A","2014",72.4,
"EST","LIFEEXP","MEN","YR","A","2015",73.2,
"EST","LIFEEXP","MEN","YR","A","2016",73.3,
"EST","LIFEEXP","MEN","YR","A","2017",73.8,
"EST","LIFEEXP","TOT","YR","A","2014",77.2,
"EST","LIFEEXP","TOT","YR","A","2015",77.7,
"EST","LIFEEXP","TOT","YR","A","2016",77.8,
"EST","LIFEEXP","TOT","YR","A","2017",78.2,
"EST","LIFEEXP","WOMEN","YR","A","2014",81.9,
"EST","LIFEEXP","WOMEN","YR","A","2015",82.2,
"EST","LIFEEXP","WOMEN","YR","A","2016",82.2,
"EST","LIFEEXP","WOMEN","YR","A","2017",82.6,
"ISR","LIFEEXP","MEN","YR","A","2014",80.3,
"ISR","LIFEEXP","MEN","YR","A","2015",80.1,
"ISR","LIFEEXP","MEN","YR","A","2016",80.7,
"ISR","LIFEEXP","MEN","YR","A","2017",80.6,
"ISR","LIFEEXP","TOT","YR","A","2014",82.2,
"ISR","LIFEEXP","TOT","YR","A","2015",82.1,
"ISR","LIFEEXP","TOT","YR","A","2016",82.5,
"ISR","LIFEEXP","TOT","YR","A","2017",82.6,
"ISR","LIFEEXP","WOMEN","YR","A","2014",84.1,
"ISR","LIFEEXP","WOMEN","YR","A","2015",84.1,
"ISR","LIFEEXP","WOMEN","YR","A","2016",84.2,
"ISR","LIFEEXP","WOMEN","YR","A","2017",84.6,
"SVN","LIFEEXP","MEN","YR","A","2014",78.2,
"SVN","LIFEEXP","MEN","YR","A","2015",77.8,
"SVN","LIFEEXP","MEN","YR","A","2016",78.2,
"SVN","LIFEEXP","MEN","YR","A","2017",78.2,
"SVN","LIFEEXP","TOT","YR","A","2014",81.2,
"SVN","LIFEEXP","TOT","YR","A","2015",80.9,
"SVN","LIFEEXP","TOT","YR","A","2016",81.3,
"SVN","LIFEEXP","TOT","YR","A","2017",81.1,
"SVN","LIFEEXP","WOMEN","YR","A","2014",84.1,
"SVN","LIFEEXP","WOMEN","YR","A","2015",83.9,
"SVN","LIFEEXP","WOMEN","YR","A","2016",84.3,
"SVN","LIFEEXP","WOMEN","YR","A","2017",84,
"LVA","LIFEEXP","MEN","YR","A","2014",69.1,
"LVA","LIFEEXP","MEN","YR","A","2015",69.7,
"LVA","LIFEEXP","MEN","YR","A","2016",69.8,
"LVA","LIFEEXP","MEN","YR","A","2017",69.8,
"LVA","LIFEEXP","TOT","YR","A","2014",74.3,
"LVA","LIFEEXP","TOT","YR","A","2015",74.6,
"LVA","LIFEEXP","TOT","YR","A","2016",74.7,
"LVA","LIFEEXP","TOT","YR","A","2017",74.8,
"LVA","LIFEEXP","WOMEN","YR","A","2014",79.4,
"LVA","LIFEEXP","WOMEN","YR","A","2015",79.5,
"LVA","LIFEEXP","WOMEN","YR","A","2016",79.6,
"LVA","LIFEEXP","WOMEN","YR","A","2017",79.7,
"LTU","LIFEEXP","MEN","YR","A","2014",69.2,
"LTU","LIFEEXP","MEN","YR","A","2015",69.2,
"LTU","LIFEEXP","MEN","YR","A","2016",69.5,
"LTU","LIFEEXP","MEN","YR","A","2017",70.7,
"LTU","LIFEEXP","TOT","YR","A","2014",74.7,
"LTU","LIFEEXP","TOT","YR","A","2015",74.5,
"LTU","LIFEEXP","TOT","YR","A","2016",74.8,
"LTU","LIFEEXP","TOT","YR","A","2017",75.6,
"LTU","LIFEEXP","WOMEN","YR","A","2014",80.1,
"LTU","LIFEEXP","WOMEN","YR","A","2015",79.7,
"LTU","LIFEEXP","WOMEN","YR","A","2016",80.1,
"LTU","LIFEEXP","WOMEN","YR","A","2017",80.5,
